year,count,outcome,gender,age,region
2019,19.5,ihd,male,70,city_D
2019,19.5,ihd,male,75,city_D
2019,52,ihd,male,70,city_B
2019,52,ihd,male,75,city_B
2019,133,ihd,male,70,ALL
2019,133,ihd,male,75,ALL
2020,2.5,ihd,male,70,city_A
2020,2.5,ihd,male,75,city_A
2020,5,ihd,male,70,city_C
2020,5,ihd,male,75,city_C
2020,5.5,ihd,male,70,city_E
2020,5.5,ihd,male,75,city_E
2018,26.5,stroke,male,70,city_C
2018,26.5,stroke,male,75,city_C
2018,22.5,ihd,female,70,city_A
2018,22.5,ihd,female,75,city_A
2018,8.5,ihd,female,70,city_C
2018,8.5,ihd,female,75,city_C
2018,10.5,ihd,female,70,city_E
2018,10.5,ihd,female,75,city_E
2018,230.5,stroke,male,70,ALL
2018,230.5,stroke,male,75,ALL
2019,10,stroke,male,70,city_A
2019,10,stroke,male,75,city_A
2019,36,stroke,male,70,city_C
2019,36,stroke,male,75,city_C
2019,34,stroke,male,70,city_E
2019,34,stroke,male,75,city_E
2019,34,stroke,male,70,city_D
2019,34,stroke,male,75,city_D
2019,65.5,stroke,male,70,city_B
2019,65.5,stroke,male,75,city_B
2019,181,stroke,male,70,ALL
2019,181,stroke,male,75,ALL
2020,2.5,stroke,male,70,city_A
2020,2.5,stroke,male,75,city_A
2020,2.5,ihd,female,70,city_A
2020,2.5,ihd,female,75,city_A
2019,49,stroke,female,70,city_B
2019,49,stroke,female,75,city_B
2019,143,stroke,female,70,ALL
2019,143,stroke,female,75,ALL
2020,2,stroke,female,70,city_A
2020,2,stroke,female,75,city_A
2020,2.5,stroke,female,70,city_C
2020,2.5,stroke,female,75,city_C
2020,4,stroke,female,70,city_E
2020,4,stroke,female,75,city_E
2020,3.5,ihd,male,70,city_D
2020,3.5,ihd,male,75,city_D
2020,7,ihd,male,70,city_B
2020,7,ihd,male,75,city_B
2020,29.5,ihd,male,70,ALL
2020,29.5,ihd,male,75,ALL
2018,39.5,stroke,male,70,city_D
2018,39.5,stroke,male,75,city_D
2018,76,stroke,male,70,city_B
